code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2014-08-14,2014-06-30,0.107200,0.387294,,22867000000.000000,2.369103,226912000000.000000,18653471415.00,14922777132.00
sh.600000,2014-10-31,2014-09-30,0.159734,0.391732,,35167000000.000000,2.460829,,18653471415.00,14922777132.00
sh.600000,2015-03-19,2014-12-31,0.202461,0.384475,,47360000000.000000,2.521032,468672000000.000000,18653471415.00,14922777132.00
sh.600000,2015-04-30,2015-03-31,0.041029,0.342790,,11309000000.000000,2.546979,,18653471415.00,14922777132.00
sh.600000,2015-08-20,2015-06-30,0.087578,0.341240,,24126000000.000000,2.587883,255438000000.000000,18653471415.00,14922777132.00
sh.600000,2015-10-30,2015-09-30,0.132619,0.344972,,37475000000.000000,2.647711,,18653471415.00,14922777132.00
sh.600000,2016-04-07,2015-12-31,0.175910,0.347984,,50997000000.000000,2.712846,515134000000.000000,18653471415.00,18653471415.00
sh.600000,2016-04-30,2016-03-31,0.042265,0.332654,,14035000000.000000,2.713685,,19652981747.00,18653471415.00
sh.600000,2016-08-11,2016-06-30,0.081046,0.329066,,27040000000.000000,2.473416,262784000000.000000,21618279922.00,20518818557.00
sh.600000,2016-10-29,2016-09-30,0.120543,0.340186,,41138000000.000000,2.503622,,21618279922.00,20518818557.00
sh.600000,2017-04-01,2016-12-31,0.155461,0.333835,,53678000000.000000,2.456208,255506000000.000000,21618279922.00,20518818557.00
sh.600000,2017-04-27,2017-03-31,0.038668,0.345774,,14647000000.000000,2.481187,,21618279922.00,21618279922.00
sh.600000,2017-08-30,2017-06-30,0.074617,0.342179,,28522000000.000000,1.939029,83354000000.000000,28103763899.00,28103763899.00
sh.600000,2017-10-28,2017-09-30,0.106690,0.339799,,42396000000.000000,1.850261,,29352080397.00,28103763899.00
sh.600000,2018-04-28,2017-12-31,0.136782,0.326191,,55002000000.000000,1.848523,168619000000.000000,29352080397.00,28103763899.00
sh.600000,2018-04-28,2018-03-31,0.033516,0.364859,,14459000000.000000,1.843174,,29352080397.00,28103763899.00
sh.600000,2018-08-30,2018-06-30,0.065959,0.351342,,28900000000.000000,1.862287,,29352080397.00,28103763899.00
sh.600000,2018-10-31,2018-09-30,0.098112,0.343516,,43664000000.000000,1.893324,,29352080397.00,28103763899.00
sh.600000,2019-03-26,2018-12-31,0.124674,0.329453,,56515000000.000000,1.904942,171542000000.000000,29352080397.00,28103763899.00
sh.600000,2019-04-30,2019-03-31,0.034284,0.331942,,16625000000.000000,1.978327,,29352080397.00,28103763899.00
sh.600000,2019-08-24,2019-06-30,0.066587,0.332083,,32411000000.000000,2.025444,,29352080397.00,28103763899.00
sh.600000,2019-10-30,2019-09-30,0.095587,0.333802,,48864000000.000000,2.080159,,29352080397.00,28103763899.00
sh.600000,2020-04-25,2019-12-31,0.114901,0.312059,,59506000000.000000,2.007047,190688000000.000000,29352080397.00,28103763899.00
sh.600000,2020-04-25,2020-03-31,0.030746,0.316289,,17530000000.000000,2.037777,,29352080397.00,28103763899.00
sh.600000,2020-08-29,2020-06-30,0.051763,0.288481,,29254000000.000000,1.899693,101407000000.000000,29352111310.00,28103794812.00
sh.600000,2020-10-31,2020-09-30,0.079413,0.303837,,45190000000.000000,1.884122,,29352134127.00,29352134127.00
sh.600000,2021-03-27,2020-12-31,0.097856,0.300396,,58993000000.000000,1.987078,,29352140893.00,29352140893.00
sh.600000,2021-04-30,2021-03-31,0.028901,0.380780,,18857000000.000000,2.032594,,29352144412.00,29352144412.00
sh.600000,2021-08-28,2021-06-30,0.046233,0.310214,,30204000000.000000,2.017160,,29352156163.00,29352156163.00
sh.600000,2021-10-30,2021-09-30,0.063866,0.293615,,42129000000.000000,1.877851,,29352165582.00,29352165582.00
sh.600000,2022-04-28,2021-12-31,0.081032,0.281524,,53766000000.000000,1.805761,,29352168006.00,29352168006.00
sh.600000,2022-04-28,2022-03-31,0.028568,0.391924,,19597000000.000000,1.829302,,29352171861.00,29352171861.00
sh.600000,2022-08-27,2022-06-30,0.044527,0.310166,,30596000000.000000,1.817208,169811000000.000000,29352172360.00,29352172360.00
sh.600000,2022-10-29,2022-09-30,0.059415,0.286192,,41120000000.000000,1.769171,,29352173656.00,29352173656.00
sh.600000,2023-04-19,2022-12-31,0.074818,0.275668,,51997000000.000000,1.743346,337286000000.000000,29352174170.00,29352174170.00
sh.600000,2023-04-29,2023-03-31,0.022428,0.335905,,16150000000.000000,1.622163,,29352174759.00,29352174759.00
sh.600000,2023-08-31,2023-06-30,0.032797,0.258851,,23615000000.000000,1.503636,167814000000.000000,29352175421.00,29352175421.00
sh.600000,2023-10-28,2023-09-30,0.039596,0.215277,,28592000000.000000,1.318301,,29352176396.00,29352176396.00
sh.600000,2024-04-30,2023-12-31,0.051598,0.215811,,37429000000.000000,1.250401,329633000000.000000,29352176848.00,29352176848.00
sh.600000,2024-04-30,2024-03-31,0.023738,0.389605,,17660000000.000000,1.304571,,29352177224.00,29352177224.00
sh.600000,2024-08-20,2024-06-30,0.036712,0.309627,,27324000000.000000,1.381567,161614000000.000000,29352177375.00,29352177375.00
sh.600000,2024-10-31,2024-09-30,0.048669,0.274856,,35687000000.000000,1.496959,,29352177607.00,29352177607.00
sh.600004,2010-04-27,2010-03-31,0.025124,0.192625,0.415976,166953807.410000,0.505295,,1150000000.00,1015000000.00
sh.600004,2010-08-27,2010-06-30,0.044339,0.165009,0.388815,292537697.190000,0.490437,1772855400.000000,1150000000.00,1015000000.00
sh.600004,2010-10-27,2010-09-30,0.072739,0.177288,0.392844,484984203.710000,0.540313,,1150000000.00,1015000000.00
sh.600004,2011-03-12,2010-12-31,0.092230,0.161066,0.365531,622596120.290000,0.511112,3230721648.810000,1150000000.00,1150000000.00
sh.600004,2011-04-28,2011-03-31,0.025111,0.173579,0.398023,171247892.840000,0.518974,,1150000000.00,1150000000.00
sh.600004,2011-08-25,2011-06-30,0.050211,0.167129,0.380678,338989572.700000,0.558167,1716997362.210000,1150000000.00,1150000000.00
sh.600004,2011-10-28,2011-09-30,0.074811,0.166172,0.382444,516053775.410000,0.544553,,1150000000.00,1150000000.00
sh.600004,2012-03-15,2011-12-31,0.103864,0.172279,0.373863,730351975.230000,0.606176,3578136302.170000,1150000000.00,1150000000.00
sh.600004,2012-04-28,2012-03-31,0.025895,0.171651,0.370413,190838853.210000,0.618017,,1150000000.00,1150000000.00
sh.600004,2012-08-29,2012-06-30,0.056700,0.178495,0.369746,408646352.710000,0.659199,1943404559.330000,1150000000.00,1150000000.00
sh.600004,2012-10-30,2012-09-30,0.082877,0.175840,0.373262,608419202.340000,0.677171,,1150000000.00,1150000000.00
sh.600004,2013-04-25,2012-12-31,0.106852,0.169283,0.389539,791113116.510000,0.654861,3912879047.680000,1150000000.00,1150000000.00
sh.600004,2013-04-25,2013-03-31,0.029491,0.195178,0.361706,231148687.450000,0.686304,,1150000000.00,1150000000.00
sh.600004,2013-08-30,2013-06-30,0.062174,0.194504,0.353185,478932761.390000,0.708985,2071343733.830000,1150000000.00,1150000000.00
sh.600004,2013-10-30,2013-09-30,0.090238,0.186283,0.342020,707267177.960000,0.731715,,1150000000.00,1150000000.00
sh.600004,2014-04-04,2013-12-31,0.119693,0.184884,0.365677,950544033.990000,0.778224,4346764266.760000,1150000000.00,1150000000.00
sh.600004,2014-04-30,2014-03-31,0.031740,0.206502,0.359976,266014710.680000,0.806728,,1150000000.00,1150000000.00
sh.600004,2014-08-29,2014-06-30,0.067435,0.207959,0.349747,557628693.830000,0.841702,2300740299.350000,1150000000.00,1150000000.00
sh.600004,2014-10-30,2014-09-30,0.094412,0.195022,0.343760,795687915.220000,0.848012,,1150000000.00,1150000000.00
sh.600004,2015-03-31,2014-12-31,0.134121,0.209284,0.386237,1156854699.430000,0.945776,4708136666.070000,1150000000.00,1150000000.00
sh.600004,2015-04-30,2015-03-31,0.035804,0.233077,0.396875,323870176.920000,0.998209,,1150000000.00,1150000000.00
sh.600004,2015-08-18,2015-06-30,0.070778,0.234160,0.398480,649543648.950000,1.027429,2380479938.650000,1150000000.00,1150000000.00
sh.600004,2015-10-31,2015-09-30,0.104486,0.229541,0.400118,963266648.280000,1.103503,,1150000000.00,1150000000.00
sh.600004,2016-04-29,2015-12-31,0.138754,0.230361,0.401008,1294566134.080000,1.089644,4888452052.200000,1150000000.00,1150000000.00
sh.600004,2016-04-29,2016-03-31,0.034820,0.239361,0.398409,345324898.500000,1.121244,,1150000000.00,1150000000.00
sh.600004,2016-08-31,2016-06-30,0.070052,0.233889,0.391586,698077259.340000,1.156410,2581121684.370000,1150000000.00,1150000000.00
sh.600004,2016-10-29,2016-09-30,0.104616,0.233691,0.393602,1059693410.160000,1.203230,,1150026103.00,1150026103.00
sh.600004,2017-04-29,2016-12-31,0.137068,0.225720,0.396104,1391941654.590000,1.212019,5682104546.090000,1150064467.00,1150026103.00
sh.600004,2017-04-29,2017-03-31,0.037044,0.259369,0.386756,410774438.580000,1.257727,,1156416852.00,1156416852.00
sh.600004,2017-08-31,2017-06-30,0.062604,0.244721,0.394627,786451405.750000,1.033968,3213661518.380000,1427117596.00,1427117596.00
sh.600004,2017-10-31,2017-09-30,0.092911,0.239921,0.389515,1180049882.340000,0.731458,,2069320514.00,2069320514.00
sh.600004,2018-04-21,2017-12-31,0.123834,0.236816,0.405627,1601244176.320000,0.771164,6746084842.910000,2069320514.00,2069320514.00
sh.600004,2018-04-21,2018-03-31,0.028433,0.253183,0.397124,436436314.200000,0.783235,,2069320514.00,2069320514.00
sh.600004,2018-08-18,2018-06-30,0.045822,0.192385,0.321507,715790949.400000,0.733542,3720615775.060000,2069320514.00,2069320514.00
sh.600004,2018-10-31,2018-09-30,0.059817,0.161911,0.285603,939631066.070000,0.646456,,2069320514.00,2069320514.00
sh.600004,2019-04-30,2018-12-31,0.073749,0.149988,0.297481,1161928946.160000,0.545672,7746817875.680000,2069320514.00,2069320514.00
sh.600004,2019-04-30,2019-03-31,0.014211,0.127842,0.213408,245198980.860000,0.444560,,2069320514.00,2069320514.00
sh.600004,2019-08-31,2019-06-30,0.027044,0.116592,0.220383,449996982.640000,0.412826,3859598653.880000,2069320514.00,2069320514.00
sh.600004,2019-10-29,2019-09-30,0.036419,0.105398,0.210710,614801954.900000,0.378584,,2069320514.00,2069320514.00
sh.600004,2020-04-28,2019-12-31,0.062678,0.134259,0.241118,1056612939.360000,0.483183,7869942250.640000,2069320514.00,2069320514.00
sh.600004,2020-04-28,2020-03-31,-0.003836,-0.048319,0.047139,-63499154.350000,0.335079,,2069320514.00,2069320514.00
sh.600004,2020-08-29,2020-06-30,-0.010284,-0.071732,-0.051206,-168821898.410000,0.173239,2353508327.450000,2069320514.00,2069320514.00
sh.600004,2020-10-31,2020-09-30,-0.018528,-0.075903,-0.025636,-285486472.210000,0.026300,,2069320514.00,2069320514.00
sh.600004,2021-04-30,2020-12-31,-0.014079,-0.044392,-0.011556,-231929979.510000,-0.105738,5224638139.320000,2366718283.00,2069320514.00
sh.600004,2021-04-30,2021-03-31,-0.008152,-0.128750,-0.033459,-152625642.330000,-0.144490,,2366718283.00,2069320514.00
sh.600004,2021-08-31,2021-06-30,-0.021814,-0.166545,-0.092635,-398967903.860000,-0.207850,2395562379.950000,2366718283.00,2069320514.00
sh.600004,2021-10-30,2021-09-30,-0.026140,-0.132871,-0.054058,-482221301.920000,-0.186340,,2366718283.00,2069320514.00
sh.600004,2022-04-09,2021-12-31,-0.021602,-0.074399,-0.009157,-385406197.120000,-0.171481,5180238340.820000,2366718283.00,2069320514.00
sh.600004,2022-04-30,2022-03-31,-0.004526,-0.062237,0.018178,-77106896.980000,-0.141050,,2366718283.00,2069320514.00
sh.600004,2022-08-31,2022-06-30,-0.028656,-0.261088,-0.211570,-530623709.840000,-0.216770,2032359107.900000,2366718283.00,2366718283.00
sh.600004,2022-10-29,2022-09-30,-0.034860,-0.191131,-0.107764,-632197812.490000,-0.229384,,2366718283.00,2366718283.00
sh.600004,2023-04-19,2022-12-31,-0.060343,-0.274944,-0.241238,-1091789852.150000,-0.452612,3970959862.120000,2366718283.00,2366718283.00
sh.600004,2023-04-19,2023-03-31,0.002599,0.037631,0.169253,51150627.100000,-0.398770,,2366718283.00,2366718283.00
sh.600004,2023-08-31,2023-06-30,0.009150,0.058964,0.192773,170430299.560000,-0.167299,2890411446.820000,2366718283.00,2366718283.00
sh.600004,2023-10-31,2023-09-30,0.015817,0.063264,0.202846,291482304.560000,-0.071808,,2366718283.00,2366718283.00
sh.600004,2024-04-27,2023-12-31,0.025409,0.074796,0.211254,481003664.140000,0.186717,6430868267.120000,2366718283.00,2366718283.00
sh.600004,2024-04-27,2024-03-31,0.010604,0.119635,0.255634,198973042.000000,0.247084,,2366718283.00,2366718283.00
sh.600004,2024-08-31,2024-06-30,0.024708,0.134954,0.275574,466977569.500000,0.304926,3460271426.090000,2366718283.00,2366718283.00
sh.600004,2024-10-31,2024-09-30,0.037446,0.131564,0.270551,697351127.950000,0.353136,,2366718283.00,2366718283.00
sh.600005,2010-04-27,2010-03-31,0.010503,0.017235,0.082070,288253411.900000,0.196581,,7838152333.00,3135352333.00
sh.600005,2010-08-23,2010-06-30,0.035196,0.026786,0.093383,962894589.970000,0.251708,34364941485.730000,7838152333.00,3135352333.00
sh.600005,2010-10-29,2010-09-30,0.045058,0.022728,0.084984,1237211764.230000,0.217227,,7838152333.00,3135352333.00
sh.600005,2011-04-25,2010-12-31,0.061450,0.022585,0.081444,1707343156.070000,0.217432,72828233018.290000,7838152333.00,3135352333.00
sh.600005,2011-04-25,2011-03-31,0.021332,0.028998,0.084960,608596757.780000,0.258264,,7838152333.00,7838152333.00
sh.600005,2011-08-23,2011-06-30,0.038094,0.024194,0.077453,1229598378.970000,0.184438,48888395012.290000,10093779823.00,10093779823.00
sh.600005,2011-10-25,2011-09-30,0.050619,0.021406,0.073905,1643754750.760000,0.192446,,10093779823.00,10093779823.00
sh.600005,2012-04-24,2011-12-31,0.033806,0.009390,0.061667,948905927.790000,0.107353,96783152189.600000,10093779823.00,10093779823.00
sh.600005,2012-04-24,2012-03-31,0.001198,0.002042,0.052821,45470928.830000,0.051892,,10093779823.00,10093779823.00
sh.600005,2012-08-27,2012-06-30,0.003778,0.003074,0.056359,139276472.800000,-0.000717,43248532298.950000,10093779823.00,10093779823.00
sh.600005,2012-10-29,2012-09-30,0.009156,0.004961,0.059374,333499695.980000,-0.022552,,10093779823.00,10093779823.00
sh.600005,2013-04-27,2012-12-31,0.005872,0.000449,0.054757,41107241.420000,0.020805,,10093779823.00,10093779823.00
sh.600005,2013-04-27,2013-03-31,0.006660,0.010577,0.072734,247360369.250000,0.040118,,10093779823.00,10093779823.00
sh.600005,2013-08-27,2013-06-30,0.012872,0.010460,0.067796,464415135.530000,0.053077,41052300537.360000,10093779823.00,10093779823.00
sh.600005,2013-10-29,2013-09-30,0.018136,0.009878,0.068019,658449914.290000,0.052793,,10093779823.00,10093779823.00
sh.600005,2014-04-29,2013-12-31,0.011942,0.004926,0.061275,441235747.650000,0.042326,81916842798.450000,10093779823.00,10093779823.00
sh.600005,2014-04-29,2014-03-31,0.005182,0.009701,0.071456,192608802.880000,0.037248,,10093779823.00,10093779823.00
sh.600005,2014-08-30,2014-06-30,0.011871,0.010803,0.073899,442305716.150000,0.039086,36684542387.130000,10093779823.00,10093779823.00
sh.600005,2014-10-31,2014-09-30,0.021267,0.012997,0.078009,794145602.050000,0.054166,,10093779823.00,10093779823.00
sh.600005,2015-04-27,2014-12-31,0.034834,0.013008,0.074865,1292597293.570000,0.124575,77527422185.020000,10093779823.00,10093779823.00
sh.600005,2015-04-27,2015-03-31,0.012599,0.026542,0.098242,465956286.920000,0.144127,,10093779823.00,10093779823.00
sh.600005,2015-08-29,2015-06-30,0.014412,0.015491,0.088852,534720579.090000,0.118956,26898560783.870000,10093779823.00,10093779823.00
sh.600005,2015-10-31,2015-09-30,-0.028197,-0.020213,0.064280,-989457507.420000,-0.073611,,10093779823.00,10093779823.00
sh.600005,2016-04-26,2015-12-31,-0.232832,-0.128743,-0.015178,-7510636778.030000,-0.744498,44272241902.180000,10093779823.00,10093779823.00
sh.600005,2016-04-26,2016-03-31,0.001069,0.002514,0.083502,32399277.860000,-0.786984,,10093779823.00,10093779823.00
sh.600005,2016-08-30,2016-06-30,0.009577,0.009472,0.078441,273257210.320000,-0.769152,22537255193.980000,10093779823.00,10093779823.00
sh.600005,2016-10-31,2016-09-30,0.012973,0.008671,0.077506,372075746.580000,-0.608607,,10093779823.00,10093779823.00
sh.600006,2010-04-24,2010-03-31,0.033816,0.047579,0.119592,215886140.230000,0.250959,,2000000000.00,2000000000.00
sh.600006,2010-08-20,2010-06-30,0.068845,0.044679,0.120106,432506212.110000,0.287094,9157298698.210000,2000000000.00,2000000000.00
sh.600006,2010-10-23,2010-09-30,0.095614,0.040435,0.116008,587832574.870000,0.300779,,2000000000.00,2000000000.00
sh.600006,2011-03-26,2010-12-31,0.100939,0.030486,0.117166,603637831.370000,0.285412,18579685734.750000,2000000000.00,2000000000.00
sh.600006,2011-04-23,2011-03-31,0.031801,0.038824,0.109846,210685112.310000,0.287435,,2000000000.00,2000000000.00
sh.600006,2011-08-26,2011-06-30,0.049757,0.029697,0.109212,330035830.720000,0.241511,10131310111.010000,2000000000.00,2000000000.00
sh.600006,2011-10-31,2011-09-30,0.052596,0.024898,0.110801,401160756.050000,0.171333,,2000000000.00,2000000000.00
sh.600006,2012-03-27,2011-12-31,0.077999,0.026035,0.104512,556970182.020000,0.232070,19424003797.200000,2000000000.00,2000000000.00
sh.600006,2012-04-24,2012-03-31,0.008795,0.012706,0.103732,66205306.620000,0.163466,,2000000000.00,2000000000.00
sh.600006,2012-08-22,2012-06-30,0.015819,0.015840,0.109409,157738843.580000,0.132643,8880434006.920000,2000000000.00,2000000000.00
sh.600006,2012-10-31,2012-09-30,0.003029,0.005936,0.111978,82953379.630000,0.085387,,2000000000.00,2000000000.00
sh.600006,2013-03-26,2012-12-31,0.003626,0.007838,0.112716,138726788.650000,0.010867,15783917795.840000,2000000000.00,2000000000.00
sh.600006,2013-04-27,2013-03-31,-0.007537,-0.005818,0.111631,-26024437.040000,-0.038184,,2000000000.00,2000000000.00
sh.600006,2013-08-31,2013-06-30,0.007226,0.011868,0.128538,119622367.970000,-0.015376,8983088239.300000,2000000000.00,2000000000.00
sh.600006,2013-10-29,2013-09-30,0.004097,0.010068,0.130015,145942894.330000,0.013993,,2000000000.00,2000000000.00
sh.600006,2014-03-28,2013-12-31,0.008401,0.015912,0.129647,307201182.650000,0.025091,17471047041.300000,2000000000.00,2000000000.00
sh.600006,2014-04-29,2014-03-31,0.006012,0.012810,0.139653,55554136.270000,0.065501,,2000000000.00,2000000000.00
sh.600006,2014-08-29,2014-06-30,0.020281,0.018452,0.140539,165371763.010000,0.064547,8358950631.360000,2000000000.00,2000000000.00
sh.600006,2014-10-25,2014-09-30,0.030697,0.018045,0.141260,234475692.120000,0.105765,,2000000000.00,2000000000.00
sh.600006,2015-03-27,2014-12-31,0.023315,0.010088,0.141149,176244343.410000,0.070292,16666843841.310000,2000000000.00,2000000000.00
sh.600006,2015-04-30,2015-03-31,0.022232,0.033202,0.150988,116235976.250000,0.120742,,2000000000.00,2000000000.00
sh.600006,2015-08-29,2015-06-30,0.038108,0.027667,0.156979,215854734.060000,0.127148,7487425188.800000,2000000000.00,2000000000.00
sh.600006,2015-10-31,2015-09-30,0.053149,0.026542,0.157467,306144022.000000,0.143376,,2000000000.00,2000000000.00
sh.600006,2016-04-23,2015-12-31,0.055184,0.016974,0.155154,286432035.350000,0.172190,16310600822.160000,2000000000.00,2000000000.00
sh.600006,2016-04-30,2016-03-31,0.018804,0.030004,0.167691,99342964.250000,0.164398,,2000000000.00,2000000000.00
sh.600006,2016-08-30,2016-06-30,0.034489,0.022563,0.158590,155375427.320000,0.165492,6548011458.110000,2000000000.00,2000000000.00
sh.600006,2016-10-29,2016-09-30,0.035213,0.012823,0.149957,134330964.200000,0.119810,,2000000000.00,2000000000.00
sh.600006,2017-04-15,2016-12-31,0.033939,0.004382,0.140017,70194314.870000,0.109427,15448595918.470000,2000000000.00,2000000000.00
sh.600006,2017-04-29,2017-03-31,0.010752,-0.001576,0.115625,-6046409.370000,0.083928,,2000000000.00,2000000000.00
sh.600006,2017-08-30,2017-06-30,0.020595,-0.001665,0.110664,-13562137.700000,0.065609,,2000000000.00,2000000000.00
sh.600006,2017-10-31,2017-09-30,0.017677,-0.013261,0.109854,-172341190.030000,0.053505,,2000000000.00,2000000000.00
sh.600006,2018-03-31,2017-12-31,0.030395,-0.004724,0.106977,-86447397.290000,0.100352,17912592953.120000,2000000000.00,2000000000.00
sh.600006,2018-04-28,2018-03-31,0.019135,0.052150,0.147238,128172485.400000,0.129942,,2000000000.00,2000000000.00
sh.600006,2018-08-28,2018-06-30,0.042734,0.049661,0.124001,287493881.060000,0.178591,,2000000000.00,2000000000.00
sh.600006,2018-10-30,2018-09-30,0.060285,0.043763,0.113688,404495987.760000,0.249576,,2000000000.00,2000000000.00
sh.600006,2019-03-30,2018-12-31,0.080020,0.038065,0.114464,548924560.580000,0.276924,13985113869.190000,2000000000.00,2000000000.00
sh.600006,2019-04-27,2019-03-31,0.016114,0.035536,0.137962,110759818.670000,0.270192,,2000000000.00,2000000000.00
sh.600006,2019-08-28,2019-06-30,0.034254,0.034373,0.122428,232405777.930000,0.254308,,2000000000.00,2000000000.00
sh.600006,2019-10-29,2019-09-30,0.045955,0.031360,0.122224,311786826.470000,0.236042,,2000000000.00,2000000000.00
sh.600006,2020-04-29,2019-12-31,0.060809,0.030590,0.119872,413584711.530000,0.221203,13520140618.020000,2000000000.00,2000000000.00
sh.600006,2020-04-29,2020-03-31,-0.003739,-0.017667,0.103963,-36499845.060000,0.149367,,2000000000.00,2000000000.00
sh.600006,2020-08-29,2020-06-30,0.039236,0.045649,0.127541,294926744.810000,0.245090,,2000000000.00,2000000000.00
sh.600006,2020-10-30,2020-09-30,0.064629,0.048998,0.130848,495226591.860000,0.300328,,2000000000.00,2000000000.00
sh.600006,2021-03-30,2020-12-31,0.072717,0.040260,0.141522,552908812.320000,0.276753,13662101862.220000,2000000000.00,2000000000.00
sh.600006,2021-04-30,2021-03-31,0.034344,0.068576,0.118747,271844092.790000,0.427141,,2000000000.00,2000000000.00
sh.600006,2021-08-28,2021-06-30,0.063163,0.057719,0.116006,510436078.320000,0.382041,,2000000000.00,2000000000.00
sh.600006,2021-10-30,2021-09-30,0.064329,0.042580,0.112399,519544671.280000,0.288607,,2000000000.00,2000000000.00
sh.600006,2022-03-31,2021-12-31,0.046945,0.024579,0.104812,382210473.790000,0.185874,15472435401.710000,2000000000.00,2000000000.00
sh.600006,2022-04-30,2022-03-31,0.014685,0.033686,0.102723,120854603.710000,0.108639,,2000000000.00,2000000000.00
sh.600006,2022-08-31,2022-06-30,0.012574,0.017058,0.072494,107511250.740000,-0.015918,,2000000000.00,2000000000.00
sh.600006,2022-10-29,2022-09-30,0.012233,0.011451,0.076229,104466100.300000,-0.022103,,2000000000.00,2000000000.00
sh.600006,2023-04-11,2022-12-31,0.035158,0.024188,0.087255,294846439.970000,0.142542,12132818994.980000,2000000000.00,2000000000.00
sh.600006,2023-04-29,2023-03-31,0.011600,0.038156,0.085502,100629512.360000,0.131028,,2000000000.00,2000000000.00
sh.600006,2023-08-31,2023-06-30,0.010356,0.016604,0.048880,89621638.660000,0.134585,,2000000000.00,2000000000.00
sh.600006,2023-10-28,2023-09-30,0.004565,0.004539,0.046304,41612926.060000,0.112175,,2000000000.00,2000000000.00
sh.600006,2024-04-13,2023-12-31,0.024239,0.016814,0.042620,202943617.350000,0.100021,11945897824.380000,2000000000.00,2000000000.00
sh.600006,2024-04-30,2024-03-31,0.016721,0.042670,0.096199,140232827.080000,0.122262,,2000000000.00,2000000000.00
sh.600006,2024-08-31,2024-06-30,0.007867,0.011428,0.041953,66256885.550000,0.090278,,2000000000.00,2000000000.00
sh.600006,2024-10-31,2024-09-30,-0.013943,-0.014261,0.030254,-113781148.410000,0.024046,,2000000000.00,2000000000.00
sh.600007,2010-04-30,2010-03-31,0.012950,0.276908,0.598409,56914686.000000,0.261583,,1007282534.00,1007282534.00
sh.600007,2010-08-31,2010-06-30,0.027843,0.286247,0.610257,121319351.000000,0.245519,423827239.000000,1007282534.00,1007282534.00
sh.600007,2010-10-29,2010-09-30,0.029532,0.188669,0.524010,128933850.000000,0.179810,,1007282534.00,1007282534.00
sh.600007,2011-03-24,2010-12-31,0.027768,0.117127,0.440070,121337372.000000,0.119905,1035944829.000000,1007282534.00,1007282534.00
sh.600007,2011-04-27,2011-03-31,0.002771,0.035613,0.306672,12239890.000000,0.075447,,1007282534.00,1007282534.00
sh.600007,2011-08-31,2011-06-30,0.014334,0.082758,0.363580,62266279.000000,0.061218,752386704.000000,1007282534.00,1007282534.00
sh.600007,2011-10-29,2011-09-30,0.028367,0.103640,0.386480,123993621.000000,0.114934,,1007282534.00,1007282534.00
sh.600007,2012-03-24,2011-12-31,0.044215,0.116050,0.404414,194761888.000000,0.192753,1678258878.000000,1007282534.00,1007282534.00
sh.600007,2012-04-27,2012-03-31,0.019913,0.191615,0.461572,89493708.000000,0.269512,,1007282534.00,1007282534.00
sh.600007,2012-08-31,2012-06-30,0.043664,0.203530,0.478564,195684865.000000,0.325196,961453809.000000,1007282534.00,1007282534.00
